City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
381,Bereda,ES,58.14,overcast clouds,43.2686,-7.5406,Pazo de Verdes
382,Pumiao,CN,50.4,clear sky,22.75,108.4833,Mushang Boutique Hotel
383,Mogadishu,SO,78.89,broken clouds,2.0371,45.3438,Hotel Juba
384,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
385,Gat,IL,59.92,scattered clouds,31.61,34.7642,OlusHome
386,San Policarpo,PH,79.0,overcast clouds,12.1791,125.5072,Agapita M. Nicart
388,Kishangarh,IN,57.33,clear sky,26.5667,74.8667,Royal Heritage
389,Tombouctou,ML,81.57,clear sky,20.0,-3.0,
391,Muncar,ID,75.63,broken clouds,-8.4333,114.3333,Zaky Homestay
397,Tiarei,PF,78.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
398,Esperance,AU,64.24,clear sky,-33.8667,121.9,Hospitality Esperance
399,Richards Bay,ZA,86.36,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
401,Dunedin,NZ,54.81,moderate rain,-45.8742,170.5036,Scenic Hotel Southern Cross
402,Sakakah,SA,71.17,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
403,Torit,SS,83.97,overcast clouds,4.4133,32.5678,Diplomat Guest House
404,La Carolina,ES,64.22,overcast clouds,38.2756,-3.6153,NH La Perdiz
405,Kaka,TM,52.0,few clouds,37.3482,59.6143,
407,Tutoia,BR,89.58,broken clouds,-2.7619,-42.2744,Pousada Guará's
410,Visnes,NO,44.82,fog,59.3556,5.2242,Park Inn Haugesund Airport
412,Sri Aman,MY,77.09,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
414,Upington,ZA,86.38,few clouds,-28.4478,21.2561,River Place Manor
415,Tura,IN,58.6,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
416,Waipawa,NZ,68.63,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
417,Marzuq,YE,68.07,clear sky,14.4,46.4667,
418,Bolobo,CD,78.1,overcast clouds,-2.1667,16.2333,Hotel de Stephen
419,Champerico,GT,85.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
420,Samana,DO,75.42,light rain,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
421,Fukue,JP,45.7,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
422,Jalu,LY,59.29,scattered clouds,29.0331,21.5482,صاحبة الفخامة
424,Kalaleh,IR,58.6,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
426,Gariche,PA,86.09,scattered clouds,8.485,-82.7664,Johnson santamaría
427,Kupang,ID,78.89,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
429,San Jeronimo,PE,59.94,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
431,Bandarbeyla,SO,76.37,clear sky,9.4942,50.8122,JABIR HOTEL
432,Taoudenni,ML,77.88,clear sky,22.6783,-3.9836,
433,Grootfontein,,81.97,scattered clouds,-19.5667,18.1167,Meteor Travel Inn
436,Auki,SB,77.36,overcast clouds,-8.7676,160.7034,Auki Motel
437,Flinders,AU,64.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
438,Yenagoa,NG,84.87,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
439,Grafton,US,44.6,overcast clouds,42.207,-71.6856,The Grafton Inn
