,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
344,Ndele,CF,8.4109,20.6473,70.2,18,100,5.82,overcast clouds
345,Alghero,IT,40.5589,8.3181,44.69,93,0,3.44,clear sky
346,Donskoye,RU,45.4552,41.9741,33.93,77,97,12.37,overcast clouds
347,Malartic,CA,48.1335,-78.1328,-16.49,100,49,2.42,scattered clouds
348,Itaituba,BR,-4.2761,-55.9836,73.18,99,100,1.25,moderate rain
349,Salinopolis,BR,-0.6136,-47.3561,78.19,87,95,8.28,overcast clouds
350,Zharkent,KZ,44.1628,80.0,27.91,84,100,4.68,overcast clouds
351,Springdale,US,36.1867,-94.1288,28.04,47,0,5.01,clear sky
352,Alta Floresta,BR,-9.8756,-56.0861,69.8,97,100,1.5,overcast clouds
353,Hofn,IS,64.2539,-15.2082,22.1,69,76,18.45,broken clouds
354,Riyadh,SA,24.6877,46.7219,46.54,43,0,12.93,clear sky
355,Nalut,LY,30.3333,10.85,47.39,39,18,11.5,few clouds
356,Karaton,ID,-6.3424,106.1045,80.76,81,100,3.24,overcast clouds
357,Naryan-Mar,RU,67.6713,53.087,8.06,96,99,9.06,overcast clouds
358,Ilulissat,GL,69.2167,-51.1,1.76,95,100,3.51,overcast clouds
359,Andros Town,BS,24.7,-77.7667,73.36,81,7,10.65,clear sky
360,Istisu,AZ,40.9457,48.0738,37.04,41,14,5.1,few clouds
361,Sao Lourenco Da Serra,BR,-23.8525,-46.9425,70.21,96,99,2.86,overcast clouds
362,Liverpool,GB,53.4106,-2.9779,49.62,92,100,5.75,overcast clouds
363,Chama,CH,47.1821,8.4636,36.25,90,40,0.0,scattered clouds
364,Kapuskasing,CA,49.4169,-82.4331,-18.31,76,75,2.3,broken clouds
365,Marinette,US,45.1,-87.6307,8.96,66,100,3.44,overcast clouds
366,Sirsa,IN,29.5333,75.0167,54.82,42,0,5.41,clear sky
367,Palora,EC,-1.7,-77.9333,65.88,96,99,2.51,overcast clouds
368,Acarau,BR,-2.8856,-40.12,77.83,87,56,9.24,broken clouds
369,Cacule,BR,-14.5033,-42.2222,68.54,91,99,3.22,overcast clouds
370,Gumdag,TM,39.2061,54.5906,41.85,64,0,6.02,clear sky
371,Sassandra,CI,4.95,-6.0833,76.8,91,24,5.06,few clouds
372,Memari,IN,23.2,88.1167,70.93,46,0,5.77,clear sky
373,Sesheke,ZM,-17.4759,24.2968,63.93,95,26,3.53,scattered clouds
374,Nayagarh,IN,20.1333,85.1,65.64,38,16,3.53,few clouds
375,Klaksvik,FO,62.2266,-6.589,38.32,98,100,34.63,overcast clouds
376,Koster,ZA,-25.863,26.8976,59.05,45,88,4.43,overcast clouds
377,Leh,IN,34.1667,77.5833,3.42,79,100,2.06,overcast clouds
378,Hargeysa,SO,9.56,44.065,55.72,93,14,8.81,few clouds
379,Manjeshwar,IN,12.7194,74.8861,74.35,53,11,6.29,few clouds
380,Wamba,NG,8.9333,8.6,72.16,18,42,4.16,scattered clouds
381,Marovoay,MG,-16.1,46.6333,77.14,90,100,2.68,overcast clouds
382,Ambilobe,MG,-13.2,49.05,73.11,95,84,1.59,broken clouds
383,Aktau,KZ,43.65,51.2,34.38,95,58,10.8,broken clouds
384,Brigantine,US,39.4101,-74.3646,49.01,59,0,6.91,clear sky
385,Port-Cartier,CA,50.0334,-66.8654,17.71,77,100,13.71,light snow
386,Ardea,IT,41.6123,12.5143,52.77,81,75,6.91,broken clouds
387,Lovozero,RU,68.005,35.0117,9.91,80,7,10.94,clear sky
388,Menongue,AO,-14.6585,17.691,62.87,96,100,3.65,light rain
389,Xai-Xai,MZ,-25.0519,33.6442,70.52,89,30,1.19,scattered clouds
390,San Andres,CO,12.5847,-81.7006,80.62,74,20,12.66,few clouds
391,Quatre Cocos,MU,-20.2078,57.7625,78.91,85,24,12.21,light rain
392,Terrak,NO,65.087,12.3715,35.47,91,100,9.1,overcast clouds
393,Kulhudhuffushi,MV,6.6221,73.07,81.5,71,99,6.22,overcast clouds
394,Honavar,IN,14.2833,74.45,77.29,45,8,5.41,clear sky
395,Notodden,NO,59.5594,9.2585,43.2,86,100,1.01,overcast clouds
396,Mumford,GH,5.2618,-0.759,78.73,87,95,8.55,light rain
397,Zabid,YE,14.1951,43.3152,74.07,78,92,4.9,overcast clouds
398,Remerschen,LU,49.4886,6.3517,32.65,86,40,9.22,scattered clouds
399,Erbaa,TR,40.6689,36.5675,36.36,80,99,0.72,overcast clouds
400,Aden,YE,12.7794,45.0367,75.42,66,1,4.56,clear sky
401,Rio Tercero,AR,-32.173,-64.1141,56.8,44,0,4.07,clear sky
402,Baherden,TM,38.4362,57.4316,40.91,81,5,5.79,clear sky
403,Minas,UY,-34.3759,-55.2377,63.07,86,99,10.13,overcast clouds
404,Upata,VE,8.0086,-62.3989,69.4,79,95,5.68,overcast clouds
405,Ouadda,CF,8.0777,22.4007,70.52,15,100,6.51,overcast clouds
406,Paamiut,GL,61.994,-49.6678,16.97,91,100,8.12,overcast clouds
407,Yabelo,ET,4.8833,38.0833,60.13,30,30,7.47,scattered clouds
408,Vardo,NO,70.3705,31.1107,25.29,71,1,17.34,clear sky
409,Balkanabat,TM,39.5108,54.3671,42.94,60,0,4.9,clear sky
410,Oum Hadjer,TD,13.2954,19.6966,70.16,14,93,8.86,overcast clouds
411,Olinda,BR,-8.0089,-34.8553,82.13,78,40,5.75,scattered clouds
412,Rudbar,AF,30.15,62.6,49.26,59,48,8.48,scattered clouds
413,Kharan,PK,28.5833,65.4167,56.12,25,0,5.59,clear sky
414,Bara,NG,10.3744,10.7288,64.85,24,35,6.8,scattered clouds
415,Pucallpa,PE,-8.3791,-74.5539,77.04,100,75,3.44,broken clouds
416,Farsund,NO,58.0948,6.8047,43.95,100,100,20.8,overcast clouds
417,Belyy Yar,RU,53.6039,91.3903,-27.51,75,20,2.24,smoke
418,Podyuga,RU,61.095,40.8647,20.68,93,99,8.57,overcast clouds
419,Bud,US,39.447,-86.1758,22.12,75,44,7.09,scattered clouds
420,Pocoes,BR,-14.5297,-40.3653,65.26,97,75,2.95,broken clouds
421,Puerto Leguizamo,CO,-0.1934,-74.7819,77.47,75,100,1.28,overcast clouds
422,Tingo Maria,PE,-9.2895,-76.0088,69.12,96,100,1.9,moderate rain
423,Yuksekova,TR,37.5736,44.2872,16.43,45,9,4.09,clear sky
424,Amapa,BR,1.0,-52.0,72.41,97,99,2.68,overcast clouds
425,Sarny,UA,51.338,26.6019,26.71,82,66,6.98,broken clouds
426,Yershov,RU,51.3513,48.2766,15.98,96,61,9.75,broken clouds
427,Rio Gallegos,AR,-51.6226,-69.2181,60.85,44,75,5.75,broken clouds
428,Uddevalla,SE,58.3478,11.9424,38.07,96,100,1.99,light rain
429,Weligama,LK,5.9667,80.4167,78.57,81,91,2.77,overcast clouds
430,Belogorsk,RU,50.9158,128.4611,2.5,86,100,8.16,overcast clouds
431,Imeni Zhelyabova,RU,58.9544,36.5956,29.64,97,100,6.98,snow
432,Kontagora,NG,10.3999,5.4695,72.34,14,3,6.73,clear sky
433,Ustrzyki Dolne,PL,49.4304,22.5938,24.13,100,4,4.23,clear sky
434,Aksarka,RU,66.5606,67.7975,-6.83,98,100,7.27,overcast clouds
435,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,88,75,9.42,broken clouds
436,Maarianhamina,AX,60.0973,19.9348,35.46,80,100,18.41,light intensity shower rain
437,Cape Coast,GH,5.1053,-1.2466,78.64,86,96,8.3,overcast clouds
438,Otuzco,PE,-7.9,-78.5833,35.92,87,100,1.25,overcast clouds
439,Ayorou,NE,14.7308,0.9174,69.1,12,34,7.07,scattered clouds
440,Jalingo,NG,8.8833,11.3667,73.35,17,76,3.85,broken clouds
441,Bana,CM,5.1481,10.2762,60.85,66,90,3.13,overcast clouds
442,Surt,LY,31.2089,16.5887,55.45,61,2,7.78,clear sky
443,Thunder Bay,CA,48.4001,-89.3168,-9.44,74,75,2.3,broken clouds
444,Shubarkuduk,KZ,49.1447,56.4872,18.59,98,100,3.24,overcast clouds
445,Aguimes,ES,27.9054,-15.4461,61.43,68,20,16.11,few clouds
446,Reinosa,ES,42.9996,-4.138,39.2,93,59,8.59,broken clouds
447,Thinadhoo,MV,0.5333,72.9333,81.34,73,100,9.51,light rain
448,Berkak,NO,62.825,10.0118,31.86,85,100,10.78,light snow
449,Port-Gentil,GA,-0.7193,8.7815,80.2,79,100,7.78,light rain
450,Trincomalee,LK,8.5711,81.2335,78.01,84,99,19.48,overcast clouds
451,Bulungu,CD,-4.55,18.6,69.82,97,100,2.53,light rain
452,Luanda,AO,-8.8368,13.2343,75.81,86,97,3.74,overcast clouds
453,Baheri,IN,28.7833,79.5,54.3,72,0,1.12,clear sky
454,Lafia,NG,8.4833,8.5167,76.1,15,77,2.24,broken clouds
455,Urdoma,RU,61.7533,48.5442,12.0,98,99,4.52,overcast clouds
456,Pinhao,BR,-25.6956,-51.6597,66.45,64,75,1.86,broken clouds
457,Komatipoort,ZA,-25.4332,31.9548,66.24,97,3,1.68,clear sky
458,Tvoroyri,FO,61.5556,-6.8111,38.59,93,99,24.9,overcast clouds
459,Marsaxlokk,MT,35.8419,14.5431,45.21,100,0,2.3,clear sky
460,Marinha Grande,PT,39.7477,-8.9323,47.89,100,20,4.61,mist
461,Urengoy,RU,65.9667,78.3667,-9.98,93,6,12.68,clear sky
462,Colonia,DE,50.9333,6.95,37.35,75,0,5.75,clear sky
463,Lieksa,FI,63.3167,30.0167,10.96,97,100,2.35,overcast clouds
464,Roald,NO,62.5833,6.1333,44.33,81,75,13.8,light rain
465,Jonkoping,SE,57.7814,14.1562,35.38,86,100,18.41,light snow
466,Bracebridge,CA,45.0334,-79.3163,1.29,71,0,4.61,clear sky
467,Soyo,AO,-6.1349,12.3689,77.63,89,100,4.74,overcast clouds
468,Gloucester,GB,51.8657,-2.2431,50.45,88,100,11.01,overcast clouds
469,Kindu,CD,-2.95,25.95,67.53,97,89,2.17,light rain
470,Asenovgrad,BG,42.0167,24.8667,39.2,75,100,8.05,overcast clouds
471,Itarema,BR,-2.9248,-39.9167,77.61,87,52,8.32,broken clouds
472,Gelibolu,TR,40.4103,26.6708,44.38,84,100,22.39,overcast clouds
473,Dudinka,RU,69.4058,86.1778,-4.38,77,25,17.54,scattered clouds
474,Bandar-E Lengeh,IR,26.5579,54.8807,66.31,77,20,6.91,few clouds
475,Quelimane,MZ,-17.8786,36.8883,76.95,94,75,4.61,broken clouds
476,Wyoming,US,43.0002,-107.5009,22.82,48,33,5.44,scattered clouds
477,Lichinga,MZ,-13.3128,35.2406,60.78,98,100,2.75,moderate rain
478,Tekirdag,TR,40.978,27.5085,42.15,81,100,19.37,overcast clouds
479,Shieli,KZ,44.1667,66.75,30.69,79,90,7.25,overcast clouds
480,Medvedok,RU,57.3891,50.0351,14.13,96,90,6.13,snow
481,Turayf,SA,31.6725,38.6637,39.45,70,0,5.75,clear sky
482,Benguela,AO,-12.5763,13.4055,75.07,63,94,3.02,overcast clouds
483,Narasannapeta,IN,18.4167,84.05,71.33,59,91,4.43,overcast clouds
484,Sinnamary,GF,5.3833,-52.95,75.61,90,73,8.32,broken clouds
485,Kizema,RU,61.113,44.8302,12.69,96,100,3.15,overcast clouds
486,Ascension,US,30.2169,-90.9001,56.01,55,0,13.8,clear sky
487,Yacuiba,BO,-22.038,-63.6797,61.16,91,95,4.99,overcast clouds
488,Kogon,UZ,39.7228,64.5517,31.64,93,0,6.91,clear sky
489,Port Blair,IN,11.6667,92.75,77.04,78,20,4.61,mist
490,San Juan,AR,-31.5375,-68.5364,68.81,35,7,6.78,clear sky
491,Namwala,ZM,-15.7504,26.4384,62.06,99,72,4.03,broken clouds
492,Sept-Iles,CA,50.2001,-66.3821,18.03,75,75,13.8,broken clouds
493,Cabedelo,BR,-6.9811,-34.8339,81.27,77,63,8.39,broken clouds
494,Telimele,GN,10.9167,-13.3333,63.59,54,0,0.72,clear sky
495,Bahia Blanca,AR,-38.7196,-62.2724,68.9,27,97,10.69,overcast clouds
496,Salgueiro,BR,-8.0742,-39.1192,72.16,80,23,7.25,few clouds
497,Krosno,PL,49.6887,21.7706,28.47,100,3,10.63,clear sky
498,Monrovia,LR,6.3005,-10.7969,76.77,88,1,5.59,light rain
499,Reading,GB,51.4562,-0.9711,47.66,75,100,5.99,overcast clouds
500,Catalina,US,32.5056,-110.9211,66.79,19,0,1.01,clear sky
501,Oyem,GA,1.5995,11.5793,67.33,96,26,2.08,scattered clouds
502,Shakhunya,RU,57.6758,46.6114,5.97,100,100,6.02,overcast clouds
503,Los Andes,CL,-32.8337,-70.5983,71.01,56,6,1.66,clear sky
504,Ornskoldsvik,SE,63.2909,18.7153,31.15,100,100,5.75,light snow
505,Moncton,CA,46.1159,-64.8019,43.39,95,75,10.36,broken clouds
506,Neuquen,AR,-38.9516,-68.0591,76.89,19,0,5.75,clear sky
507,Vagur,FO,61.4732,-6.8119,41.36,92,99,23.98,overcast clouds
508,Businga,CD,3.3333,20.8833,71.56,41,100,1.61,overcast clouds
509,Puerto Ayora,EC,-0.7393,-90.3518,74.55,94,43,1.01,scattered clouds
510,Kourou,GF,5.1552,-52.6478,79.11,92,76,6.24,broken clouds
511,Awjilah,LY,29.1081,21.2869,51.26,51,0,3.13,clear sky
512,Aras,ES,42.5617,-2.356,41.32,100,20,2.3,mist
513,Turiacu,BR,-1.6633,-45.3717,74.61,95,75,3.27,broken clouds
514,Berberati,CF,4.2612,15.7922,66.0,28,6,2.42,clear sky
515,Banes,CU,20.9625,-75.7186,75.72,77,5,12.46,clear sky
516,Humaita,BR,-7.5061,-63.0208,74.53,88,95,2.24,overcast clouds
517,Lake City,US,30.1897,-82.6393,60.84,100,100,0.0,overcast clouds
518,Kautokeino,NO,69.0125,23.0412,-16.71,100,61,2.33,broken clouds
519,Bloemfontein,ZA,-29.1211,26.214,58.48,88,17,3.44,few clouds
520,Cockburn Town,TC,21.4612,-71.1419,77.4,80,0,20.04,clear sky
521,Colomi,BO,-17.35,-65.8667,48.22,92,100,0.6,overcast clouds
522,Kitob,UZ,39.0843,66.8332,36.18,80,92,0.31,overcast clouds
523,Tromso,NO,69.6496,18.957,18.37,85,0,3.44,clear sky
524,Nara,JP,34.6851,135.8049,44.49,54,100,3.65,overcast clouds
525,Senador Jose Porfirio,BR,-2.5908,-51.9542,74.91,92,100,1.05,overcast clouds
526,Bonavista,CA,48.6499,-53.1147,43.12,85,100,25.75,overcast clouds
527,Luleburgaz,TR,41.4039,27.3592,42.17,80,100,14.5,overcast clouds
528,Dalvik,IS,65.9702,-18.5286,19.33,91,77,10.76,broken clouds
529,Kingseat,GB,56.0974,-3.4084,44.76,85,0,23.02,clear sky
530,Ardino,BG,41.5833,25.1333,37.45,88,100,6.69,overcast clouds
531,Nizhnyaya Omka,RU,55.4338,74.9426,7.57,96,100,4.9,light snow
532,Tabou,CI,4.423,-7.3528,77.72,87,13,5.44,few clouds
533,Nzerekore,GN,7.7562,-8.8179,63.86,76,0,1.54,clear sky
534,Diofior,SN,14.1833,-16.6667,74.32,17,24,12.73,few clouds
535,Yumaguzino,RU,52.9041,56.3933,16.36,98,100,3.51,overcast clouds
536,Kousseri,CM,12.0769,15.0306,67.91,14,10,8.7,clear sky
537,Methoni,GR,36.8197,21.7049,53.22,73,100,3.31,overcast clouds
538,Ejigbo,NG,7.9,4.3167,73.29,83,31,3.83,scattered clouds
539,Riachao,BR,-7.3619,-46.6172,71.29,94,100,5.41,light rain
540,Bhatkal,IN,13.9667,74.5667,78.62,46,9,4.0,clear sky
541,Palaia Fokaia,GR,37.72,23.9463,56.75,74,100,8.37,overcast clouds
542,Gijon,ES,43.5357,-5.6615,50.81,89,70,5.99,broken clouds
543,Umm Lajj,SA,25.0213,37.2685,65.44,27,0,17.92,clear sky
544,Lages,BR,-27.8161,-50.3261,59.77,94,2,4.34,clear sky
545,Marsa Matruh,EG,31.3525,27.2453,48.4,81,0,4.61,clear sky
546,Trelew,AR,-43.249,-65.3051,73.38,22,57,8.72,broken clouds
547,Mecca,SA,21.4267,39.8261,69.49,27,0,12.88,clear sky
548,Meulaboh,ID,4.1363,96.1285,82.53,72,96,4.21,overcast clouds
549,Selty,RU,57.3132,52.1345,15.17,98,96,4.9,overcast clouds
550,Anori,BR,-3.7728,-61.6442,73.44,99,100,2.66,overcast clouds
551,Abidjan,CI,5.3094,-4.0197,80.56,94,0,4.61,clear sky
552,Kirn,DE,49.7833,7.45,35.42,77,91,4.54,overcast clouds
553,Pondicherry,IN,11.93,79.83,77.88,70,31,12.15,scattered clouds
554,Viedma,AR,-40.8135,-62.9967,68.74,33,53,4.36,broken clouds
555,Pryozerne,UA,45.2698,36.3303,37.08,67,100,13.18,overcast clouds
556,Vieux-Habitants,GP,16.0589,-61.7659,75.7,73,8,10.98,clear sky
557,Mesyagutovo,RU,55.5303,58.2528,14.27,96,100,6.46,overcast clouds
558,Stornoway,GB,58.2093,-6.3865,40.96,89,25,9.22,scattered clouds
559,Bereslavka,RU,48.6254,44.0449,21.97,91,68,14.5,broken clouds
560,Senekal,ZA,-28.3197,27.6208,63.03,59,57,3.38,broken clouds
561,Bam,IR,29.106,58.357,51.28,64,83,7.16,broken clouds
562,Beyneu,KZ,45.3167,55.2,39.63,82,100,10.69,overcast clouds
563,Lincoln,US,40.8,-96.667,34.39,51,74,1.99,broken clouds
564,Villamontes,BO,-21.25,-63.5,66.92,68,100,4.79,overcast clouds
565,Mairipora,BR,-23.3186,-46.5867,69.78,78,100,6.91,overcast clouds
566,Embonas,GR,36.2269,27.8564,44.73,68,43,2.21,scattered clouds
567,Vallenar,CL,-28.5708,-70.7581,66.4,61,0,1.95,clear sky
568,Lipari,IT,38.4674,14.954,53.53,67,61,1.97,broken clouds
569,Kembe,CF,4.6228,21.8865,69.8,36,100,3.15,overcast clouds
570,Tshane,BW,-24.0196,21.8684,72.37,31,100,8.72,overcast clouds
571,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.42,96,100,2.84,overcast clouds
572,Waddan,LY,29.1614,16.139,49.51,50,0,5.93,clear sky
573,Bandarbeyla,SO,9.4942,50.8122,73.27,78,90,10.63,overcast clouds
574,Berlevag,NO,70.8578,29.0864,22.78,78,30,17.74,scattered clouds
575,Dingli,MT,35.8614,14.3822,42.96,100,0,2.3,clear sky
576,Chiriqui Grande,PA,8.95,-82.1167,80.08,88,62,1.9,broken clouds
577,Havoysund,NO,70.9963,24.6622,23.88,74,74,13.06,light snow
578,Kapiri Mposhi,ZM,-13.9652,28.6809,59.13,98,71,3.98,broken clouds
579,Nokaneng,BW,-19.6667,22.2667,66.63,72,62,5.97,broken clouds
580,Thaba-Tseka,LS,-29.522,28.6084,56.34,76,31,1.88,scattered clouds
581,Ler,SS,8.3018,30.1418,74.57,31,24,5.12,few clouds
582,Asfi,MA,32.2994,-9.2372,55.02,75,4,7.45,clear sky
583,Alice Town,BS,25.7167,-79.3,75.78,80,33,6.76,scattered clouds
584,Highland Springs,US,37.546,-77.3278,56.05,60,83,1.01,broken clouds
585,Swellendam,ZA,-34.0226,20.4417,66.58,80,99,3.96,overcast clouds
586,Mathathane,BW,-22.2687,28.7495,70.05,57,65,8.14,broken clouds
587,Kangavar,IR,34.5043,47.9653,27.88,87,6,0.94,clear sky
588,Springbok,ZA,-29.6643,17.8865,69.93,51,19,3.09,light rain
589,Yarensk,RU,62.1675,49.0916,10.76,98,100,2.93,overcast clouds
590,Mmathubudukwane,BW,-24.6,26.4333,64.65,50,31,4.65,scattered clouds
591,Beira,MZ,-19.8436,34.8389,77.09,73,98,5.55,overcast clouds
592,Arlit,NE,18.7369,7.3853,61.68,18,0,4.52,clear sky
593,Viseu,PT,40.661,-7.9097,39.87,99,33,1.19,scattered clouds
594,Sambava,MG,-14.2667,50.1667,72.86,90,14,6.08,few clouds
595,Sur,OM,22.5667,59.5289,68.59,55,0,4.9,clear sky
596,Kyshtovka,RU,56.555,76.6271,2.89,95,98,10.74,light snow
597,Bayji,IQ,34.9311,43.487,49.21,55,0,9.28,clear sky
598,Saint Austell,GB,50.3383,-4.7658,50.56,87,100,21.85,overcast clouds
599,Mosquera,CO,4.7059,-74.2302,55.49,100,75,2.3,broken clouds
600,Jiguani,CU,20.3667,-76.4272,73.0,81,32,1.54,scattered clouds
601,Veraval,IN,20.9,70.3667,69.49,32,3,5.44,clear sky
602,Kangaatsiaq,GL,68.3065,-53.4641,-1.23,87,100,7.23,overcast clouds
603,Yenagoa,NG,4.9247,6.2642,76.55,88,99,3.44,overcast clouds
604,Santarem,BR,-2.4431,-54.7083,75.33,100,40,2.3,scattered clouds
605,Qandala,SO,11.472,49.8728,72.12,78,32,4.83,scattered clouds
606,South River,US,40.4465,-74.386,47.01,49,100,3.0,overcast clouds
607,Sayyan,YE,15.1718,44.3244,50.72,35,100,4.41,overcast clouds
608,Esna,EG,25.2934,32.554,51.82,43,0,5.55,clear sky
609,Kattivakkam,IN,13.2167,80.3167,78.08,85,43,10.31,scattered clouds
610,Gamba,GA,-2.65,10.0,76.71,90,100,4.12,light rain
611,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,100,100,11.5,overcast clouds
612,Dubti,ET,11.7361,41.0853,74.97,61,6,1.81,clear sky
613,Pisco,PE,-13.7,-76.2167,69.85,73,0,9.22,clear sky
614,Laguna De Perlas,NI,12.3429,-83.6712,76.26,87,21,9.86,few clouds
615,Shar,KZ,49.5886,81.0453,13.53,85,99,9.93,overcast clouds
616,Volodarka,UA,49.5248,29.9122,28.83,75,6,4.36,clear sky
617,Rumonge,BI,-3.9736,29.4386,71.11,83,100,3.76,light rain
618,Saint-Louis,SN,16.3333,-15.0,70.57,21,68,10.83,broken clouds
619,Agustin Codazzi,CO,10.0341,-73.2361,80.08,58,71,5.59,broken clouds
620,Bloomingdale,US,27.8936,-82.2404,68.32,52,75,4.61,broken clouds
621,Remetea Mare,RO,45.7794,21.3761,33.91,86,0,5.99,clear sky
622,Dobroye,RU,52.8678,39.8109,15.51,92,14,9.91,few clouds
623,Vilhena,BR,-12.7406,-60.1458,68.49,99,100,3.04,moderate rain
624,Betera,ES,39.5833,-0.45,50.83,90,87,4.61,overcast clouds
625,Atlantic City,US,39.3643,-74.4229,49.01,56,100,7.54,overcast clouds
626,Nuevo Imperial,PE,-13.0754,-76.3172,69.87,81,95,2.33,overcast clouds
627,Zarand,IR,30.8127,56.564,41.04,79,100,4.12,overcast clouds
628,Ndjole,GA,-0.1783,10.7649,74.37,98,100,1.52,overcast clouds
629,Grand-Lahou,CI,5.1367,-5.0242,78.12,90,1,6.87,clear sky
630,Rodrigues Alves,BR,-7.738,-72.6509,73.15,97,100,1.05,overcast clouds
631,Skjervoy,NO,70.0311,20.9714,26.4,55,10,15.52,clear sky
632,Milos,GR,36.75,24.4333,52.52,65,100,7.02,overcast clouds
633,Wilkes-Barre,US,41.2459,-75.8813,37.76,73,100,3.0,overcast clouds
634,Emborion,GR,40.4833,21.55,39.56,91,100,3.11,overcast clouds
635,Khoy,IR,38.5504,44.9535,26.87,58,67,4.72,broken clouds
636,Rute,ES,37.3269,-4.3683,48.4,80,100,3.98,overcast clouds
637,Jalu,LY,29.0331,21.5482,51.46,51,0,3.44,clear sky
638,Beruwala,LK,6.4788,79.9828,76.91,84,98,4.61,overcast clouds
639,Truro,GB,50.2653,-5.0544,51.08,87,100,21.85,overcast clouds
640,Conde,BR,-7.2597,-34.9075,80.06,83,40,4.61,scattered clouds
641,Muzhi,RU,65.3667,64.6667,-9.22,100,90,5.77,overcast clouds
642,Colares,PT,38.7992,-9.4469,52.32,74,11,15.01,few clouds
643,Kharitonovo,RU,61.4009,47.4978,10.29,98,100,4.09,overcast clouds
644,Chulym,RU,55.0997,80.9572,-0.29,93,35,8.72,scattered clouds
645,Harper,LR,4.375,-7.7169,78.21,85,9,6.13,clear sky
646,Gilbues,BR,-9.8317,-45.3439,71.71,89,83,0.98,broken clouds
647,Luena,AO,-11.7833,19.9167,59.83,95,99,2.46,overcast clouds
648,Chipinge,ZW,-20.1883,32.6236,59.04,94,37,2.82,scattered clouds
649,Paarl,ZA,-33.7338,18.9752,68.0,67,67,4.07,broken clouds
650,Junin,AR,-34.5838,-60.9433,53.22,59,0,6.08,clear sky
651,Isakly,RU,54.1333,51.5333,23.56,95,99,9.86,overcast clouds
652,Rio Pardo,BR,-29.9897,-52.3781,69.28,89,37,3.47,scattered clouds
653,Lewisporte,CA,49.2499,-55.0482,42.55,90,100,19.93,overcast clouds
654,Chokwe,MZ,-24.5333,32.9833,68.18,93,0,2.98,clear sky
655,Mayahi,NE,13.9553,7.6712,60.48,15,2,10.8,clear sky
656,Gargzdai,LT,55.7128,21.4033,35.38,76,98,15.73,overcast clouds
657,Biu,NG,10.6129,12.1946,65.26,20,19,7.34,few clouds
658,Amantea,IT,39.1332,16.0746,49.44,78,96,7.74,overcast clouds
659,Moussoro,TD,13.6408,16.4901,65.97,13,10,11.92,clear sky
660,Yanam,IN,16.7333,82.2167,72.0,76,96,6.51,overcast clouds
661,Saint Stephen,GB,50.3333,-4.9,50.27,87,100,20.71,overcast clouds
662,Bafata,GW,12.1667,-14.75,69.42,16,0,4.34,clear sky
663,Mwinilunga,ZM,-11.7358,24.4293,62.64,99,100,5.03,heavy intensity rain
664,Tukrah,LY,32.5341,20.5791,50.81,77,5,5.44,clear sky
665,Suksun,RU,57.1431,57.3949,18.75,96,100,5.82,overcast clouds
666,Anloga,GH,5.7947,0.8973,80.64,83,74,12.86,broken clouds
667,Tripoli,LY,32.8752,13.1875,54.09,67,19,1.28,few clouds
668,Parakou,BJ,9.3372,2.6303,75.34,25,8,0.67,clear sky
669,Manoel Urbano,BR,-8.8389,-69.2597,72.9,97,25,0.89,scattered clouds
670,Pordim,BG,43.3833,24.85,43.32,59,100,13.71,overcast clouds
671,Saint-Francois,FR,46.4154,3.9054,30.42,98,13,2.3,few clouds
672,Trairi,BR,-3.2778,-39.2689,77.81,85,85,6.78,overcast clouds
673,Wajir,KE,1.7471,40.0573,72.18,82,4,11.34,clear sky
674,Leshukonskoye,RU,64.8989,45.7622,3.7,98,82,6.08,broken clouds
675,Igrim,RU,63.1906,64.4162,-10.46,100,85,4.23,overcast clouds
676,Hun,LY,29.1268,15.9477,49.32,50,0,5.59,clear sky
677,Springfield,US,37.2153,-93.2982,24.96,60,0,0.0,clear sky
678,Mitsamiouli,KM,-11.3847,43.2844,80.55,78,99,9.62,light rain
679,Ciudad Dario,NI,12.7314,-86.124,73.85,73,19,10.13,few clouds
680,Calama,CL,-22.4667,-68.9333,54.09,40,0,2.06,clear sky
681,Basarabeasca,MD,46.3311,28.9728,21.72,82,9,2.66,clear sky
682,Agadir,MA,30.4202,-9.5982,50.45,53,0,3.78,clear sky
683,Marienburg,PL,54.0359,19.0266,31.66,67,75,13.4,broken clouds
684,Porto Velho,BR,-8.7619,-63.9039,75.25,94,0,1.14,clear sky
685,Alamor,EC,-4.0181,-80.0197,62.06,94,100,3.27,light rain
686,Natal,BR,-5.795,-35.2094,78.85,79,14,6.58,few clouds
687,Tocopilla,CL,-22.092,-70.1979,70.18,69,1,3.47,clear sky
688,Imbituba,BR,-28.24,-48.6703,75.09,84,0,10.49,clear sky
689,Mabaruma,GY,8.2,-59.7833,72.28,83,73,2.89,broken clouds
690,Puerto Narino,CO,-3.7703,-70.3831,76.95,96,97,1.68,overcast clouds
691,Sile,TR,41.1754,29.6133,45.57,63,100,8.99,overcast clouds
692,Jumla,NP,29.2747,82.1838,39.9,50,0,3.29,clear sky
693,Uitenhage,ZA,-33.7576,25.3971,71.19,89,100,8.1,overcast clouds
694,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,68,0,8.05,clear sky
