City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ahipara,NZ,2022-02-01 17:45:18,-35.1667,173.1667,69.01,89,100,14.9
68,Lebu,CL,2022-02-01 17:41:05,-37.6167,-73.65,65.98,68,0,12.3
69,Waipawa,NZ,2022-02-01 17:45:19,-41.4122,175.5153,65.44,74,85,6.91
70,Sawtell,AU,2022-02-01 17:45:19,-30.3833,153.1,77.02,93,90,5.75
71,Port Alfred,ZA,2022-02-01 17:45:19,-33.5906,26.891,77.02,83,99,10.13
72,Kihei,US,2022-02-01 17:45:20,20.785,-156.4656,66.69,83,20,0.0
73,Esperance,AU,2022-02-01 17:45:20,-33.8667,121.9,58.84,66,70,16.4
74,Barrhead,GB,2022-02-01 17:45:21,55.7992,-4.3929,48.06,74,75,5.99
75,Ilulissat,GL,2022-02-01 17:45:21,69.2167,-51.1,3.22,51,75,11.5
76,Clyde River,CA,2022-02-01 17:45:22,70.4692,-68.5914,-21.77,69,75,4.61
77,Banjarmasin,ID,2022-02-01 17:45:22,-3.3244,114.591,77.14,87,68,3.04
78,Khatanga,RU,2022-02-01 17:45:22,71.9667,102.5,-35.14,100,22,3.6
79,Tasiilaq,GL,2022-02-01 17:45:23,65.6145,-37.6368,8.76,73,89,6.6
80,Batemans Bay,AU,2022-02-01 17:45:23,-35.7167,150.1833,71.98,91,100,10.29
81,Cabedelo,BR,2022-02-01 17:45:24,-6.9811,-34.8339,86.67,63,13,11.77
82,Hay River,CA,2022-02-01 17:45:24,60.8156,-115.7999,-22.02,69,20,8.05
83,Matagami,CA,2022-02-01 17:45:24,49.7502,-77.6328,19.51,73,75,29.93
84,Lorengau,PG,2022-02-01 17:45:25,-2.0226,147.2712,78.28,85,100,7.34
85,Maracacume,BR,2022-02-01 17:45:25,-2.0428,-45.9592,81.84,83,95,3.69
86,Severo-Kurilsk,RU,2022-02-01 17:45:26,50.6789,156.125,25.2,79,41,9.55
87,East London,ZA,2022-02-01 17:45:26,-33.0153,27.9116,74.34,94,20,6.91
88,Boa Vista,BR,2022-02-01 17:45:26,2.8197,-60.6733,89.58,48,75,12.66
89,Hasaki,JP,2022-02-01 17:45:27,35.7333,140.8333,32.4,57,2,17.36
90,Provideniya,RU,2022-02-01 17:45:27,64.3833,-173.3,7.14,70,8,23.44
91,Missoula,US,2022-02-01 17:45:28,47.0166,-113.8009,17.53,86,95,3.49
92,Quesnel,CA,2022-02-01 17:44:10,52.9999,-122.5029,12.7,73,75,11.5
93,Kutum,SD,2022-02-01 17:46:28,14.2,24.6667,62.33,19,4,8.43
94,Hartselle,US,2022-02-01 17:46:29,34.4434,-86.9353,62.62,55,0,14.05
95,Ardakan,IR,2022-02-01 17:46:29,32.31,54.0175,44.98,67,42,6.76
96,Bongaree,AU,2022-02-01 17:46:29,-27.0797,153.1586,79.05,84,97,8.57
97,Lagoa,PT,2022-02-01 17:46:30,39.05,-27.9833,58.91,78,33,17.9
98,Tuatapere,NZ,2022-02-01 17:46:30,-46.1333,167.6833,62.82,88,93,7.29
99,Dingle,PH,2022-02-01 17:46:30,10.9995,122.6711,73.53,95,91,7.09
100,Ust-Nera,RU,2022-02-01 17:46:31,64.5667,143.2,-1.71,98,100,5.64
101,Hithadhoo,MV,2022-02-01 17:46:31,-0.6,73.0833,82.72,72,12,12.66
102,Luderitz,NA,2022-02-01 17:46:31,-26.6481,15.1594,66.87,85,49,8.88
103,Sena Madureira,BR,2022-02-01 17:46:32,-9.0656,-68.6569,84.76,72,53,2.37
104,Vao,NC,2022-02-01 17:46:32,-22.6667,167.4833,77.7,82,92,13.94
105,Kodinsk,RU,2022-02-01 17:46:33,58.6881,99.1844,-9.04,100,98,3.04
106,Kenai,US,2022-02-01 17:42:57,60.5544,-151.2583,18.03,72,100,24.16
107,Shingu,JP,2022-02-01 17:46:33,33.7333,135.9833,42.91,58,11,14.05
108,Iqaluit,CA,2022-02-01 17:46:34,63.7506,-68.5145,-22.27,74,100,2.3
109,Arcata,US,2022-02-01 17:42:27,40.8665,-124.0828,44.26,74,0,3.44
110,Bethel,US,2022-02-01 17:46:34,41.3712,-73.414,36.05,59,0,3.0
